Период;Контрагент;ТМ;Количество;Стоимость;Валовый Доход;Тип
2022-11-24;Ламода;ПТМ;90.52941176470588;633389.1176470588;388728.62411764706;Прогноз
2022-11-24;ОЗОН;Salamander;4.294117647058823;24998.41176470588;15408.16294117647;Прогноз
2022-11-24;ОЗОН;Thomas Munz;137.41176470588235;560736.5294117647;335630.6088235293;Прогноз
2022-11-25;Вайлдберриз;Salamander;104.11764705882354;856593.5776470589;606623.7688235295;Прогноз
2022-11-25;Вайлдберриз;Thomas Munz;703.8823529411765;2719101.3229411766;1659616.4964705885;Прогноз
2022-11-25;ИМ;Salamander;13.117647058823529;91258.76470588235;61153.92588235294;Прогноз
2022-11-25;ИМ;Thomas Munz;149.2941176470588;722419.0294117647;443965.7894117647;Прогноз
2022-11-25;ИМ;ПТМ;11.0;66182.08823529411;36120.114117647056;Прогноз
2022-11-25;Ламода;Salamander;191.64705882352942;1509475.4117647058;1038244.8805882352;Прогноз
2022-11-25;Ламода;Thomas Munz;947.4705882352941;4565199.94117647;2960998.322941176;Прогноз
2022-11-25;Ламода;ПТМ;90.52941176470588;633389.1176470588;388728.62411764706;Прогноз
2022-11-25;ОЗОН;Salamander;4.294117647058823;24998.41176470588;15408.16294117647;Прогноз
2022-11-25;ОЗОН;Thomas Munz;137.41176470588235;560736.5294117647;335630.6088235293;Прогноз
2022-11-26;Вайлдберриз;Salamander;104.11764705882354;856593.5776470589;606623.7688235295;Прогноз
2022-11-26;Вайлдберриз;Thomas Munz;703.8823529411765;2719101.3229411766;1659616.4964705885;Прогноз
2022-11-26;ИМ;Salamander;13.117647058823529;91258.76470588235;61153.92588235294;Прогноз
2022-11-26;ИМ;Thomas Munz;149.2941176470588;722419.0294117647;443965.7894117647;Прогноз
2022-11-26;ИМ;ПТМ;11.0;66182.08823529411;36120.114117647056;Прогноз
2022-11-26;Ламода;Salamander;191.64705882352942;1509475.4117647058;1038244.8805882352;Прогноз
2022-11-26;Ламода;Thomas Munz;947.4705882352941;4565199.94117647;2960998.322941176;Прогноз
2022-11-26;Ламода;ПТМ;90.52941176470588;633389.1176470588;388728.62411764706;Прогноз
2022-11-26;ОЗОН;Salamander;4.294117647058823;24998.41176470588;15408.16294117647;Прогноз
2022-11-26;ОЗОН;Thomas Munz;137.41176470588235;560736.5294117647;335630.6088235293;Прогноз
2022-11-27;Вайлдберриз;Salamander;104.11764705882354;856593.5776470589;606623.7688235295;Прогноз
2022-11-27;Вайлдберриз;Thomas Munz;703.8823529411765;2719101.3229411766;1659616.4964705885;Прогноз
2022-11-27;ИМ;Salamander;13.117647058823529;91258.76470588235;61153.92588235294;Прогноз
2022-11-27;ИМ;Thomas Munz;149.2941176470588;722419.0294117647;443965.7894117647;Прогноз
2022-11-27;ИМ;ПТМ;11.0;66182.08823529411;36120.114117647056;Прогноз
2022-11-27;Ламода;Salamander;191.64705882352942;1509475.4117647058;1038244.8805882352;Прогноз
2022-11-27;Ламода;Thomas Munz;947.4705882352941;4565199.94117647;2960998.322941176;Прогноз
2022-11-27;Ламода;ПТМ;90.52941176470588;633389.1176470588;388728.62411764706;Прогноз
2022-11-27;ОЗОН;Salamander;4.294117647058823;24998.41176470588;15408.16294117647;Прогноз
2022-11-27;ОЗОН;Thomas Munz;137.41176470588235;560736.5294117647;335630.6088235293;Прогноз
